NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
ZNF646	ZNF646	5.20409	2.5182	1.70492	3.23921	2.70278	4.11269	3.94047	2.54618	3.93504	5.72276	5.36641	4.9778	6.73697	5.92406	2.96374	2.36891	2.42963	5.27146	10.6942	2.56275	2.53101	3.85613	3.95692	6.3327
ZNF649	ZNF649	3.11562	1.60769	3.94307	2.42758	5.91071	3.1915	1.39043	2.38819	3.30397	8.01341	3.70289	3.54095	2.71093	4.04759	4.02529	2.84581	7.07241	5.13323	3.56384	1.04002	4.97325	2.88033	4.85756	5.95679
ZNF652	ZNF652	14.5112	13.8774	2.93382	6.71324	10.2484	15.6643	12.7989	4.86648	14.0731	10.0216	16.1705	5.73891	11.0328	11.2714	6.76349	7.54317	17.5646	8.29797	3.71713	5.87678	13.6017	4.97043	10.1696	9.13033
ZNF653	ZNF653	11.405	3.25907	5.47381	1.55823	2.70143	1.8062	2.51761	1.94067	4.29442	4.24613	5.65113	4.64086	4.17121	2.33921	3.76625	2.33288	2.12082	2.92789	2.00529	2.3707	2.35172	2.68172	3.66729	1.43902
ZNF654	ZNF654	3.71398	1.8525	4.61958	6.29082	2.45601	4.20006	4.73785	6.61684	2.43816	4.00668	3.67701	2.95145	2.83625	5.33945	4.83036	6.89086	3.34125	6.1436	5.53747	3.79855	4.11687	5.75929	5.31193	6.5789
ZNF655	ZNF655	16.8785	15.7259	29.8409	15.6898	13.812	27.0942	27.5917	15.7897	20.0432	31.0101	34.8222	14.9154	20.1053	50.1237	25.5671	41.2762	47.5235	32.3067	29.993	19.1925	14.9927	23.8877	12.208	22.2562
ZNF658	ZNF658	1.16598	1.11185	0.394565	1.36882	0.448635	0.58082	2.29221	1.55962	0.816383	0.907683	0.758545	0.567976	2.76444	3.09973	0.569849	0.465363	2.17295	1.05245	0.69904	1.18417	1.19033	0.844313	1.05512	1.50502
ZNF658B	ZNF658B	0.730798	0.538434	0.153376	0.749113	0.178378	0.32322	1.00825	0.775814	0.459763	0.510766	0.433959	0.293066	2.71821	1.95412	0.382276	0.189918	1.21184	0.49326	0.466659	0.758986	0.584989	0.516736	0.757912	0.858074
ZNF664	ZNF664	47.2681	17.7668	22.3094	25.3017	26.1746	28.3806	36.7341	37.4357	14.5237	30.4059	15.1576	32.4086	34.5948	32.7126	47.5465	29.5354	35.4229	15.886	36.5351	18.2628	20.9502	24.8019	12.3776	44.8434
ZNF667-AS1	ZNF667-AS1	56.9139	2.43499	22.3963	3.66327	21.3335	31.6859	5.84269	1.99501	7.43372	1.41677	8.1321	12.4142	33.0032	2.31722	14.7759	2.90655	25.3258	14.7354	19.0395	31.2634	0.635821	11.0344	1.5306	23.9144
ZNF668	ZNF668	6.852295	5.34131	4.49894	3.81702	5.00892	2.5163975	3.6514495	2.74195	3.452121	2.535425	3.97596	2.5795035	6.04832	2.053815	2.322874	4.97221	1.789646	2.5114745	5.25467	1.709038	2.60368	3.6681	2.56911	4.15275
ZNF669	ZNF669	5.33628	2.05863	1.28565	3.76073	1.08641	3.60303	3.4983	2.79756	1.96998	3.53697	2.38459	3.42641	5.0963	3.69896	3.88375	2.11831	3.58869	2.41718	2.34485	2.64627	2.44296	2.24706	2.47286	4.5474
ZNF670	ZNF670	3.98979	2.56702	1.11264	2.97178	0.888535	1.05356	4.95702	2.44768	0.966927	4.55271	1.13787	1.85384	4.57132	2.14963	3.38628	0.852363	3.21907	1.86056	1.47039	3.67752	1.34972	0.728547	3.17124	5.4234
ZNF671	ZNF671	4.02575	0.82336	1.92787	0.917141	4.05189	2.29278	1.09472	0.587334	5.56161	5.51073	7.79542	0.85281	1.05858	0.351185	2.9898	1.78485	4.71745	4.08644	1.74586	2.5481	2.15416	2.85211	3.62867	3.46603
ZNF672	ZNF672	21.0108	17.4159	9.47943	12.0272	11.4246	27.2787	39.5087	8.98142	15.3299	10.7118	21.1096	12.9557	18.0633	8.8977	13.5084	23.8051	15.7129	25.3422	10.4411	19.2075	12.4116	16.7646	28.1741	18.8952
